sector_a,sector_b,shared_boundary_m
AL1 1,AL1 2,4663.218840450449
AL1 1,AL1 3,3123.6497935925763
AL1 1,AL1 5,3550.0254361352995
AL1 1,AL2 1,1482.7655814323884
AL1 1,AL2 2,171.6705422749978
AL1 1,AL3 4,1100.9757965925462
AL1 1,AL4 0,820.922007261486
AL1 2,AL2 2,2260.763730924275
AL1 2,AL3 4,3893.9764916539507
AL1 3,AL1 4,2358.1462265284586
AL1 3,AL1 5,1487.407653595736
AL1 3,AL3 4,263.92933262444967
AL1 3,AL3 5,1083.9610623817223
AL1 4,AL1 5,2708.53550711639
AL1 4,AL3 5,1944.9578339076027
AL1 4,AL3 6,73.67074894812586
AL1 4,AL4 0,1115.068524197091
AL1 4,AL4 9,1977.4743764052268
AL1 5,AL4 0,2826.4558415166293
AL10 0,AL10 8,2291.4274311180734
AL10 0,AL10 9,4166.093179666399
AL10 0,AL8 6,976.3191792451566
AL10 0,AL8 7,196.31776854178176
AL10 0,AL9 5,1609.1493365457413
AL10 8,AL10 9,3812.941322431128
AL10 8,AL9 5,1718.7958882389717
AL10 8,AL9 6,1658.236566706343
AL10 8,AL9 7,1119.7588189104504
AL10 9,AL4 0,5040.997141368511
AL10 9,AL4 9,4273.818784194547
AL10 9,AL5 5,2505.981634797822
AL10 9,AL6 9,615.6881229363585
AL10 9,AL8 7,5280.724745572727
AL10 9,AL9 7,267.3026289927261
AL2 1,AL2 2,2105.556703086413
AL2 1,AL4 0,1191.6789507744118
AL2 1,EN6 3,1703.1577317490553
AL2 1,WD7 9,5457.052472502196
AL2 2,AL2 3,5943.137945110083
AL2 2,AL3 4,581.0412876599469
AL2 2,WD7 9,1861.031793294954
AL2 3,AL3 4,3328.5924406597146
AL2 3,AL3 6,6339.781705286918
AL2 3,AL3 7,506.248287217179
AL2 3,HP2 4,2721.4540380171447
AL2 3,HP3 8,1650.2433967333964
AL2 3,WD25 0,1547.1814326875738
AL2 3,WD25 8,4691.916039859051
AL2 3,WD25 9,2184.772447943251
AL2 3,WD5 0,3583.012033863083
AL2 3,WD7 9,1118.4503905728702
AL3 4,AL3 5,1467.3671968955389
AL3 4,AL3 6,2285.2599510525924
AL3 5,AL3 6,3855.712103327054
AL3 6,AL3 7,6377.608021602424
AL3 6,AL4 8,928.4528788844057
AL3 6,AL4 9,3190.4321318101074
AL3 6,AL5 2,1516.9779681804496
AL3 7,AL3 8,6749.610573347667
AL3 7,AL5 2,1079.4496976177866
AL3 7,AL5 3,5225.799676974914
AL3 7,HP2 4,530.8390237458675
AL3 7,HP2 6,735.1286506168326
AL3 7,HP2 7,1951.8825214825733
AL3 8,AL5 3,2848.0499253747676
AL3 8,HP2 6,6020.414483996378
AL3 8,LU1 4,7480.399274284728
AL3 8,LU6 2,4851.902397606749
AL3 8,LU6 3,2471.6564272818455
AL4 0,AL4 9,3138.545796644668
AL4 0,AL9 7,2901.7901156604667
AL4 0,EN6 3,3357.1332147013945
AL4 8,AL4 9,5312.22916418877
AL4 8,AL5 1,3462.4391538246646
AL4 8,AL5 2,2469.625030851929
AL4 8,AL5 5,12706.266008433757
AL4 8,LU2 9,4637.470880298968
AL4 9,AL5 5,16.46376997557954
AL5 1,AL5 2,2938.8790934474687
AL5 1,AL5 5,3559.302290870304
AL5 2,AL5 3,6346.62606139163
AL5 2,AL5 4,1814.7499344328007
AL5 2,AL5 5,1411.4645959798258
AL5 3,AL5 4,1094.1912999548927
AL5 3,LU1 4,2502.94391504429
AL5 4,AL5 5,5105.872055479406
AL5 4,LU1 4,1448.9927577110889
AL5 5,AL6 9,3863.9608910750953
AL5 5,LU1 4,2475.1820240119773
AL5 5,LU2 9,3256.0848885445916
AL6 0,AL6 9,7794.837039876348
AL6 0,AL7 1,2324.3435203849194
AL6 0,AL7 2,2172.74121359451
AL6 0,AL8 7,1316.2386199140922
AL6 0,SG14 2,6227.845232091948
AL6 0,SG14 3,887.8895896814882
AL6 0,SG3 6,9103.14912691868
AL6 9,AL8 7,3271.711549193806
AL6 9,LU2 9,586.7998720558385
AL6 9,SG3 6,4409.334711853875
AL6 9,SG4 8,11506.03467778041
AL7 1,AL7 2,2787.5924487021603
AL7 1,AL7 3,4221.315434323156
AL7 1,AL8 7,1668.6535990969192
AL7 2,AL7 3,356.7290461314652
AL7 2,AL7 4,303.23400975799154
AL7 2,SG14 2,2070.6212847511583
AL7 3,AL7 4,4770.236222342825
AL7 3,AL8 6,1800.0418405218238
AL7 3,AL8 7,20.912405257713587
AL7 4,AL8 6,658.3099075352732
AL7 4,AL9 5,4929.695179158618
AL7 4,SG14 2,33.53413487813346
AL8 6,AL8 7,4097.2803140119295
AL9 5,AL9 6,14371.193470794502
AL9 5,AL9 7,4602.988239803734
AL9 5,SG13 8,312.1237960581842
AL9 5,SG14 2,2375.745999199211
AL9 6,AL9 7,5125.976073741486
AL9 6,EN6 1,697.9169293725816
AL9 6,EN6 4,3212.020472178605
AL9 6,SG13 8,5534.765509090898
AL9 7,EN5 4,1469.6562301281688
AL9 7,EN6 1,3241.608592867201
AL9 7,EN6 3,4594.624497690416
AL9 7,EN6 4,87.57497319342271
B1 1,B1 2,1206.406445692854
B1 1,B15 1,467.7314703295806
B1 1,B15 2,676.2331597626986
B1 1,B2 4,92.9563465173153
B1 1,B3 1,68.5012286747171
B1 1,B5 4,1774.9754424096147
B1 2,B1 3,1589.343449686599
B1 2,B15 1,514.0944625172101
B1 2,B16 8,1549.445932865927
B1 2,B18 7,548.7532101173219
B1 2,B3 1,1298.1387407274995
B1 3,B18 6,605.1223607810692
B1 3,B18 7,227.26713877017426
B1 3,B3 1,1034.9621770236474
B10 0,B10 9,2799.7873022290273
B10 0,B11 1,2130.2356524572756
B10 0,B11 2,1243.525848610515
B10 0,B25 8,486.87783961602247
B10 0,B9 4,460.0737834137082
B10 0,B9 5,421.05275788199253
B10 9,B25 8,1140.3287910696026
B10 9,B9 5,5136.229583076393
B11 1,B11 2,1108.9481458377315
B11 1,B11 4,1388.7874368161836
B11 1,B12 0,1986.9618993400813
B11 1,B12 8,664.7645905702411
B11 1,B9 4,249.9110066947059
B11 2,B11 3,2233.364329934776
B11 2,B11 4,66.38088060846223
B11 2,B25 8,2408.0937007887055
B11 2,B27 6,814.7433642560784
B11 3,B11 4,2064.901814680488
