sector,layer,median_price,transaction_count,ew_percentile,neighbour_count,neighbourhood_median,pct_above_neighbourhood,low_transaction_count,min_sales_threshold,priced_neighbour_count,low_count_neighbour_count,has_geometry,analysis_status
AL1 1,1,525000.0,359,87.06046964350894,7,550000.0,-0.045454545454545414,False,20,7,0,True,ok
AL1 1,2,525000.0,359,87.06046964350894,16,576750.0,-0.08972691807542266,False,20,16,0,True,ok
AL1 1,3,525000.0,359,87.06046964350894,40,580000.0,-0.09482758620689657,False,20,40,0,True,ok
AL1 2,1,550000.0,210,88.66650444092954,3,565500.0,-0.027409372236958496,False,20,3,0,True,ok
AL1 2,2,550000.0,210,88.66650444092954,11,588000.0,-0.06462585034013602,False,20,11,0,True,ok
AL1 2,3,550000.0,210,88.66650444092954,29,565500.0,-0.027409372236958496,False,20,29,0,True,ok
AL1 3,1,405000.0,387,73.17191872490571,5,665000.0,-0.39097744360902253,False,20,5,0,True,ok
AL1 3,2,405000.0,387,73.17191872490571,12,585250.0,-0.3079880392994446,False,20,12,0,True,ok
AL1 3,3,405000.0,387,73.17191872490571,26,575250.0,-0.2959582790091264,False,20,26,0,True,ok
AL1 4,1,795000.0,391,96.61759338118992,6,583125.0,0.36334405144694526,False,20,6,0,True,ok
AL1 4,2,795000.0,391,96.61759338118992,17,605000.0,0.31404958677685957,False,20,17,0,True,ok
AL1 4,3,795000.0,391,96.61759338118992,45,561250.0,0.4164810690423162,False,20,45,0,True,ok
AL1 5,1,525000.0,464,87.06046964350894,4,612500.0,-0.1428571428571429,False,20,4,0,True,ok
AL1 5,2,525000.0,464,87.06046964350894,14,563375.0,-0.06811626358997114,False,20,14,0,True,ok
AL1 5,3,525000.0,464,87.06046964350894,31,588000.0,-0.1071428571428571,False,20,31,0,True,ok
AL10 0,1,339500.0,247,60.96848765056576,5,415500.0,-0.18291215403128758,False,20,5,0,True,ok
AL10 0,2,339500.0,247,60.96848765056576,17,512500.0,-0.33756097560975606,False,20,17,0,True,ok
AL10 0,3,339500.0,247,60.96848765056576,41,530000.0,-0.3594339622641509,False,20,41,0,True,ok
AL10 8,1,365000.0,331,66.10293223019832,5,415500.0,-0.12154031287605294,False,20,5,0,True,ok
AL10 8,2,365000.0,331,66.10293223019832,18,580625.0,-0.37136706135629705,False,20,18,0,True,ok
AL10 8,3,365000.0,331,66.10293223019832,51,530000.0,-0.3113207547169812,False,20,51,0,True,ok
AL10 9,1,412000.0,279,74.1635235430101,8,606875.0,-0.3211122554067971,False,20,8,0,True,ok
AL10 9,2,412000.0,279,74.1635235430101,31,561250.0,-0.26592427616926506,False,20,31,0,True,ok
AL10 9,3,412000.0,279,74.1635235430101,72,525000.0,-0.21523809523809523,False,20,72,0,True,ok
AL2 1,1,450000.0,363,80.05840126536074,5,565500.0,-0.20424403183023876,False,20,5,0,True,ok
AL2 1,2,450000.0,363,80.05840126536074,22,581500.0,-0.2261392949269132,False,20,22,0,True,ok
AL2 1,3,450000.0,363,80.05840126536074,50,570250.0,-0.21087242437527398,False,20,50,0,True,ok
AL2 2,1,565500.0,200,89.77977856186884,6,569000.0,-0.0061511423550087985,False,20,6,0,True,ok
AL2 2,2,565500.0,200,89.77977856186884,23,530000.0,0.06698113207547163,False,20,23,0,True,ok
AL2 2,3,565500.0,200,89.77977856186884,50,525000.0,0.07714285714285718,False,20,50,0,True,ok
AL2 3,1,665000.0,297,93.90436792797178,11,565500.0,0.17595048629531385,False,20,11,0,True,ok
AL2 3,2,665000.0,297,93.90436792797178,41,525000.0,0.2666666666666666,False,20,41,0,True,ok
AL2 3,3,665000.0,297,93.90436792797178,73,530000.0,0.2547169811320755,False,20,73,0,True,ok
AL3 4,1,750000.0,263,95.92407835503104,7,565500.0,0.32625994694960214,False,20,7,0,True,ok
AL3 4,2,750000.0,263,95.92407835503104,22,563375.0,0.3312624805857556,False,20,22,0,True,ok
AL3 4,3,750000.0,263,95.92407835503104,49,525000.0,0.4285714285714286,False,20,49,0,True,ok
AL3 5,1,665000.0,342,93.90436792797178,4,677500.0,-0.01845018450184499,False,20,4,0,True,ok
AL3 5,2,665000.0,342,93.90436792797178,14,595000.0,0.11764705882352944,False,20,14,0,True,ok
AL3 5,3,665000.0,342,93.90436792797178,33,561250.0,0.18485523385300673,False,20,33,0,True,ok
AL3 6,1,605000.0,112,91.79340552378636,8,680000.0,-0.11029411764705888,False,20,8,0,True,ok
AL3 6,2,605000.0,112,91.79340552378636,30,563375.0,0.07388506767250935,False,20,30,0,True,ok
AL3 6,3,605000.0,112,91.79340552378636,64,511250.0,0.18337408312958425,False,20,64,0,True,ok
AL3 7,1,585000.0,199,90.9295534736586,8,515000.0,0.13592233009708732,False,20,8,0,True,ok
AL3 7,2,585000.0,199,90.9295534736586,32,554375.0,0.055242390078917625,False,20,32,0,True,ok
AL3 7,3,585000.0,199,90.9295534736586,71,490000.0,0.19387755102040827,False,20,71,0,True,ok
AL3 8,1,425000.0,171,76.45698990144787,6,486250.0,-0.12596401028277637,False,20,6,0,True,ok
AL3 8,2,425000.0,171,76.45698990144787,31,390000.0,0.08974358974358965,False,20,31,0,True,ok
AL3 8,3,425000.0,171,76.45698990144787,68,447500.0,-0.05027932960893855,False,20,68,1,True,ok
AL4 0,1,700000.0,388,94.8473050249422,8,527500.0,0.3270142180094786,False,20,8,0,True,ok
AL4 0,2,700000.0,388,94.8473050249422,28,570250.0,0.22753178430512944,False,20,28,0,True,ok
AL4 0,3,700000.0,388,94.8473050249422,57,565000.0,0.23893805309734506,False,20,57,0,True,ok
AL4 8,1,695000.0,242,94.72563572210731,6,650000.0,0.0692307692307692,False,20,6,0,True,ok
AL4 8,2,695000.0,242,94.72563572210731,22,628750.0,0.10536779324055656,False,20,22,0,True,ok
AL4 8,3,695000.0,242,94.72563572210731,62,450000.0,0.5444444444444445,False,20,62,1,True,ok
AL4 9,1,561250.0,472,89.51210609563208,6,695000.0,-0.19244604316546765,False,20,6,0,True,ok
AL4 9,2,561250.0,472,89.51210609563208,25,605000.0,-0.0723140495867769,False,20,25,0,True,ok
AL4 9,3,561250.0,472,89.51210609563208,61,504500.0,0.11248761149653119,False,20,61,0,True,ok
AL5 1,1,695000.0,281,94.72563572210731,3,695000.0,0.0,False,20,3,0,True,ok
AL5 1,2,695000.0,281,94.72563572210731,12,628750.0,0.10536779324055656,False,20,12,0,True,ok
AL5 1,3,695000.0,281,94.72563572210731,38,437500.0,0.5885714285714285,False,20,38,0,True,ok
AL5 2,1,1425000.0,245,99.0631463681713,7,695000.0,1.050359712230216,False,20,7,0,True,ok
