sector,transaction_count,median_price,mean_price,p25_price,p75_price,ew_percentile,low_transaction_count,min_sales_threshold
AL1 1,359,525000.0,618808.0752089137,415000.0,760000.0,87.06046964350894,False,20
AL1 2,210,550000.0,600331.6904761905,436250.0,700000.0,88.66650444092954,False,20
AL1 3,387,405000.0,534402.9173126615,325000.0,576250.0,73.17191872490571,False,20
AL1 4,391,795000.0,938958.5345268542,550000.0,1200000.0,96.61759338118992,False,20
AL1 5,464,525000.0,557122.4935344828,350000.0,700500.0,87.06046964350894,False,20
AL10 0,247,339500.0,334026.1659919028,231000.0,420000.0,60.96848765056576,False,20
AL10 8,331,365000.0,380480.8942598187,315000.0,450000.0,66.10293223019832,False,20
AL10 9,279,412000.0,427796.9283154122,303500.0,505000.0,74.1635235430101,False,20
AL2 1,363,450000.0,466785.15426997247,304000.0,576500.0,80.05840126536074,False,20
AL2 2,200,565500.0,617383.025,425000.0,741250.0,89.77977856186884,False,20
AL2 3,297,665000.0,704637.2424242424,550000.0,830000.0,93.90436792797178,False,20
AL3 4,263,750000.0,840146.5551330799,550250.0,974500.0,95.92407835503103,False,20
AL3 5,342,665000.0,731467.0584795321,526292.75,858750.0,93.90436792797178,False,20
AL3 6,112,605000.0,653454.7857142857,505250.0,756250.0,91.79340552378635,False,20
AL3 7,199,585000.0,641760.4170854271,430000.0,765000.0,90.9295534736586,False,20
AL3 8,171,425000.0,503315.7894736842,349500.0,547500.0,76.45698990144787,False,20
AL4 0,388,700000.0,726063.4278350516,540000.0,892575.0,94.8473050249422,False,20
AL4 8,242,695000.0,771676.6487603306,510750.0,898750.0,94.72563572210731,False,20
AL4 9,472,561250.0,625524.0741525424,390000.0,815000.0,89.51210609563208,False,20
AL5 1,281,695000.0,755602.3629893238,550000.0,890000.0,94.72563572210731,False,20
AL5 2,245,1425000.0,1570961.8244897958,895000.0,2040000.0,99.0631463681713,False,20
AL5 3,183,894000.0,986948.4535519126,687450.0,1235500.0,97.46927850103418,False,20
