sector,layer,median_price,transaction_count,ew_percentile,neighbour_count,neighbourhood_median,pct_above_neighbourhood,low_transaction_count,min_sales_threshold,priced_neighbour_count,low_count_neighbour_count,has_geometry,analysis_status
WC1A 1,2,5625000.0,17,99.95133227886603,22,940000.0,4.98404255319149,True,20,21,13,True,ok
W1K 1,2,13212500.0,4,100.0,20,2618750.0,4.045346062052506,True,20,20,3,True,ok
CB2 7,2,2475000.0,12,99.69582674291276,14,575000.0,3.304347826086956,True,20,13,0,True,ok
W1J 8,2,8345273.0,21,99.98783306971652,20,2137500.0,2.904221286549708,False,20,18,10,True,ok
SE21 7,2,1800000.0,113,99.43423774181774,24,509950.0,2.5297578193940584,False,20,24,0,True,ok
EC2M 4,2,2142000.0,2,99.61065823092834,25,640000.0,2.346875,True,20,25,7,True,ok
W1U 4,2,4688325.0,68,99.8904976274486,18,1517125.0,2.0902694240751423,False,20,18,5,True,ok
DE22 5,2,840000.0,26,97.03735247597032,21,295000.0,1.847457627118644,False,20,21,0,True,ok
WD3 4,2,1373250.0,120,99.01447864703736,28,490000.0,1.8025510204081636,False,20,28,0,True,ok
TS22 5,2,334995.0,852,60.01946708845358,28,123625.0,1.709767441860465,False,20,28,1,True,ok
BH13 7,2,825000.0,275,96.93393356856063,10,315000.0,1.619047619047619,False,20,10,0,True,ok
W1U 8,2,3600000.0,27,99.8661637668816,19,1375000.0,1.6181818181818182,False,20,19,5,True,ok
CH48 1,2,862500.0,50,97.28677454678186,21,330000.0,1.6136363636363638,False,20,21,1,True,ok
CH64 5,2,625000.0,35,92.6146733179219,25,240000.0,1.6041666666666663,False,20,25,2,True,ok
CH63 4,2,762500.0,6,96.11266577442512,28,300875.0,1.5342750311591191,True,20,28,4,True,ok
SW1X 7,2,5035000.0,59,99.93916534858256,24,1987500.0,1.5333333333333332,False,20,24,2,True,ok
DH1 3,2,347500.0,157,62.61102323883684,17,140000.0,1.4821428571428572,False,20,17,0,True,ok
WC2H 0,2,2700000.0,3,99.77491178975544,29,1090000.0,1.477064220183486,True,20,27,17,True,ok
SL9 7,2,1322500.0,190,98.8988928093442,28,534000.0,1.4765917602996257,False,20,28,0,True,ok
LL64 5,2,503000.0,57,85.44835138094659,8,207500.0,1.4240963855421689,False,20,8,1,True,ok
CH64 8,2,836000.0,7,97.01910208054508,15,345000.0,1.4231884057971014,True,20,15,2,True,ok
CR3 7,2,1127050.0,60,98.47913371456382,21,475000.0,1.372736842105263,False,20,21,0,True,ok
L12 1,2,400000.0,28,72.52707141988076,24,169000.0,1.366863905325444,False,20,24,1,True,ok
RG9 3,2,1350000.0,67,98.94756053047816,35,570375.0,1.366863905325444,False,20,35,0,True,ok
CH48 2,2,772000.0,42,96.24041854240176,20,326250.0,1.3662835249042145,False,20,20,1,True,ok
DH1 4,2,350000.0,218,63.219369753011314,17,150000.0,1.3333333333333337,False,20,17,0,True,ok
W1G 7,2,2468750.0,10,99.68365981262929,20,1058750.0,1.331759149940968,True,20,20,3,True,ok
SW1Y 5,2,2600000.0,5,99.73841099890498,20,1132500.0,1.295805739514349,True,20,18,12,True,ok
W1D 3,2,2197505.0,9,99.62282516121182,29,960000.0,1.2890677083333335,True,20,27,16,True,ok
CH66 8,2,515000.0,2,86.35478768706655,25,226500.0,1.2737306843267109,True,20,25,2,True,ok
AL5 2,2,1425000.0,245,99.0631463681713,20,628750.0,1.2664015904572563,False,20,20,0,True,ok
L34 7,2,313500.0,4,54.75726974084439,42,138987.5,1.2555985250472164,True,20,42,9,True,ok
NE47 0,2,550000.0,21,88.66650444092954,19,245000.0,1.2448979591836733,False,20,19,1,True,ok
SW11 6,2,1477500.0,467,99.16048181043922,14,660500.0,1.2369417108251324,False,20,14,0,True,ok
L38 3,2,630000.0,9,92.87626231901692,14,285000.0,1.210526315789474,True,20,13,3,True,ok
NP8 1,2,420000.0,159,75.5627205256114,34,191750.0,1.1903520208604954,False,20,34,0,True,ok
PL8 1,2,715000.0,93,95.18189560773816,10,330762.5,1.1616718944862252,False,20,10,0,True,ok
EC2A 2,2,1237810.0,54,98.7224723202336,16,575250.0,1.1517774880486744,False,20,16,3,True,ok
NE2 3,2,377500.0,204,68.87090886969217,22,175500.0,1.150997150997151,False,20,22,2,True,ok
AL5 3,2,894000.0,183,97.46927850103418,25,420000.0,1.1285714285714286,False,20,25,0,True,ok
BN20 0,2,685000.0,52,94.41537899987831,11,322500.0,1.1240310077519382,False,20,11,0,True,ok
WA14 3,2,876000.0,155,97.37194305876628,22,412500.0,1.1236363636363635,False,20,22,0,True,ok
SE1 9,2,1200000.0,171,98.70422192480837,12,567500.0,1.1145374449339207,False,20,12,0,True,ok
SW8 5,2,1360680.0,197,98.99014478647037,10,646275.0,1.1054195195543692,False,20,10,0,True,ok
TS26 0,2,222500.0,823,29.413553960335808,14,105724.0,1.1045363399039003,False,20,14,0,True,ok
W1K 4,2,5895000.0,17,99.96349920914952,15,2821250.0,1.0894993354009743,True,20,14,7,True,ok
CF14 0,2,542995.0,458,88.13724297359776,31,260000.0,1.0884423076923078,False,20,31,0,True,ok
SA3 1,2,500000.0,95,85.14417812385935,7,240000.0,1.0833333333333337,False,20,7,0,True,ok
EN4 0,2,1197500.0,222,98.67380459909964,30,580000.0,1.0646551724137931,False,20,30,0,True,ok
